date,symbol,side,shares,price,value,cost
2011-06-02,601988.SH,buy,13306.360913957194,3.75685,49990.001999600085,9.998000399920018
2011-06-02,601328.SH,buy,7761.554919263697,6.44072,49990.00199960008,9.998000399920016
2011-06-02,601390.SH,buy,12024.3426178862,4.1574,49990.001999600085,9.998000399920018
2011-06-02,601169.SH,buy,4459.984333366649,11.20856,49990.001999600085,9.998000399920018
2011-06-02,600004.SH,buy,4617.054376651511,10.827250000000001,49990.00199960008,9.998000399920016
2011-06-02,600028.SH,buy,4057.096550583453,12.32162,49990.001999600085,9.998000399920018
2011-06-02,600269.SH,buy,1143.9841402841696,43.698159999999994,49990.001999600085,9.998000399920018
2011-06-02,000002.SZ,buy,56.96870999096441,877.49928,49990.00199960008,9.998000399920016
2011-06-02,600033.SH,buy,2919.4839188711762,17.12289,49990.00199960008,9.998000399920016
2011-06-02,601186.SH,buy,7882.148094125375,6.342180000000001,49990.00199960008,9.998000399920016
2011-06-02,601939.SH,buy,8982.929379982046,5.5649999999999995,49990.001999600085,9.998000399920018
2011-06-02,601628.SH,buy,2502.3402561707585,19.977299999999996,49990.001999600085,9.998000399920018
2011-06-02,000999.SZ,buy,1471.0249297253868,33.983109999999996,49990.001999600085,9.998000399920018
2011-06-02,600018.SH,buy,12024.3426178862,4.1574,49990.001999600085,9.998000399920018
2011-06-02,600019.SH,buy,4534.240544181413,11.025,49990.00199960008,9.998000399920016
2011-06-02,601866.SH,buy,13119.908982006405,3.81024,49990.001999600085,9.998000399920018
2011-06-02,601857.SH,buy,4254.395840036773,11.7502,49990.001999600085,9.998000399920018
2011-06-02,600694.SH,buy,312.28634638795205,160.07745000000003,49990.001999600085,9.998000399920018
2011-06-02,600832.SH,buy,410.20345565092845,121.86636,49990.00199960008,9.998000399920016
2011-06-02,000031.SZ,buy,651.0831566864972,76.77974999999999,49990.00199960008,9.998000399920016
2011-07-04,601169.SH,sell,4459.984333366649,10.54944,47050.33712579146,9.410067425158292
2011-07-04,600269.SH,sell,1143.9841402841696,41.19371999999999,47124.962359306795,9.42499247186136
2011-07-04,000002.SZ,sell,56.96870999096441,989.73756,56384.07202280474,11.27681440456095
2011-07-04,600033.SH,sell,2919.4839188711762,17.02187,49695.07573411571,9.939015146823142
2011-07-04,601186.SH,sell,7882.148094125375,6.21762,49008.20163299581,9.801640326599163
2011-07-04,601939.SH,sell,8982.929379982046,5.7519,51668.91150071873,10.333782300143746
2011-07-04,601628.SH,sell,2502.3402561707585,20.26875,50719.30906726106,10.143861813452213
2011-07-04,000999.SZ,sell,1471.0249297253868,33.08697,48671.757719075984,9.734351543815198
2011-07-04,600019.SH,sell,4534.240544181413,11.06505,50171.59833339453,10.034319666678908
2011-07-04,601866.SH,sell,13119.908982006405,3.64896,47874.02307898209,9.574804615796419
2011-07-04,600694.SH,sell,312.28634638795205,154.41348,48221.22150224911,9.644244300449822
2011-07-04,600832.SH,sell,410.20345565092845,123.783,50776.214350838876,10.155242870167775
