date,strategy,benchmark
2019-01-02,100000.0,98634.24008660445
2019-01-03,97744.1877,98478.35367044552
2019-01-04,101076.1877,100837.7084630394
2019-01-07,103882.1877,101449.83135887835
2019-01-08,104092.1877,101230.62646596076
2019-01-09,107369.1877,102252.74339100321
2019-01-10,106096.1877,102060.4429549783
2019-01-11,105721.1877,102794.23046211629
2019-01-14,106094.1877,101897.62448924716
2019-01-15,104541.8717,103897.38626854983
2019-01-16,103854.8717,103919.35159860305
2019-01-17,104501.8717,103346.88786514665
2019-01-18,103541.8717,105232.09644576847
2019-01-21,103725.8717,105812.11999945797
2019-01-22,103062.8717,104406.46841602772
2019-01-23,102560.8717,104331.27211978161
2019-01-24,101585.8717,104920.13096425314
2019-01-25,98987.8717,105773.36429538098
2019-01-28,97371.8717,105750.38257473402
2019-01-29,94594.6916,106088.91703781538
2019-01-30,92171.6916,105242.35999784239
2019-01-31,90186.6916,106343.45645078538
2019-02-01,93563.6916,107863.52504984308
2019-02-11,96459.6916,109825.73684332207
2019-02-12,98774.6916,110618.34878645626
2019-02-13,101890.6916,112833.55879932521
2019-02-14,105210.6916,113003.37906692426
2019-02-15,105447.6916,110896.34157845331
2019-02-18,109377.6916,114451.71905529093
2019-02-19,110674.1405,114247.87627510527
2019-02-20,110522.1405,114657.07313521563
2019-02-21,111860.1405,114350.77087579925
2019-02-22,116450.1405,116922.05971487395
2019-02-25,124498.1405,123876.19419251694
2019-02-26,123746.1405,122388.4906586398
2019-02-27,125248.1405,122179.18727016628
2019-02-28,122593.1405,121879.524764988
2019-03-01,125268.1405,124548.1811657111
2019-03-04,128362.1405,126022.6018695742
2019-03-05,130721.872,126750.32424852872
2019-03-06,135544.872,127815.77727839572
2019-03-07,138830.872,126512.3858819229
2019-03-08,128919.872,121487.872268002
2019-03-11,132796.872,123891.85524365885
2019-03-12,134386.872,124735.43618568422
2019-03-13,132859.872,123700.51805362146
2019-03-14,125498.872,122846.60712876444
2019-03-15,126948.872,124391.75998195221
2019-03-18,130031.872,127937.2658481867
2019-03-19,131300.6483,127346.5203701948
2019-03-20,131465.6483,127395.58280633822
2019-03-21,133514.6483,127443.79825032022
2019-03-22,134632.6483,127341.16272958147
2019-03-25,128991.6483,124319.35709906986
2019-03-26,123627.6483,122911.47676371677
2019-03-27,124845.6483,124338.04407122768
2019-03-28,122406.6483,123840.06250337145
2019-03-29,126317.6483,128621.28011007319
2019-04-01,131143.6483,131995.52416126526
2019-04-02,131472.8457,131907.74255796155
2019-04-03,134235.8457,133597.45538311024
2019-04-04,131935.8457,134928.53844095522
2019-04-08,130543.8457,134762.3851511845
2019-04-09,131260.8457,135366.9548698662
2019-04-10,130314.8457,135712.95615011977
2019-04-11,128856.8457,132781.06122869806
2019-04-12,129056.8457,132483.41821855566
2019-04-15,127679.8457,132048.54919210906
2019-04-16,131149.956,135711.03297968264
2019-04-17,131345.956,135759.21852982364
2019-04-18,130711.956,135255.5239168001
2019-04-19,133509.956,136867.54929228663
2019-04-22,132772.956,133712.19126637495
2019-04-23,131891.956,133492.78375964618
2019-04-24,132684.956,133860.92308992316
2019-04-25,128550.396,130928.91191467537
2019-04-26,124881.836,129183.73604987311
2019-04-29,118001.596,129551.06824644333
2019-04-30,117673.0856,129978.78600181712
2019-05-06,109281.5256,122385.9430390797
2019-05-07,108562.6856,123583.4105923047
2019-05-08,106642.2456,121815.98706672873
2019-05-09,103864.5256,119565.40267535271
2019-05-10,106469.1656,123908.35332234844
2019-05-13,103718.6456,121858.10748868626
2019-05-14,102777.7818,121075.0482885179
2019-05-15,104310.1818,123796.782864691
2019-05-16,105041.5018,124357.16616484882
2019-05-17,100427.8618,121194.97573550153
2019-05-20,100602.4218,120166.34527466072
2019-05-21,101883.2618,121793.36075063578
2019-05-22,100961.5418,121215.52609041451
2019-05-23,99096.2218,119042.74208098877
2019-05-24,97548.2618,119373.21185007812
2019-05-27,100146.9818,120810.87973721068
2019-05-28,99860.3818,121975.5238530266
2019-05-29,99468.6218,121698.1256163115
2019-05-30,97798.2218,120943.28288050157
2019-05-31,96915.5018,120564.82685354451
2019-06-03,96232.1018,120638.67792694598
2019-06-04,93468.1818,119524.43150550447
2019-06-05,93856.5418,119479.20544562164
2019-06-06,91762.2618,118402.12371160882
2019-06-10,90639.8618,119932.21339047456
2019-06-11,93216.7067,123537.15817721456
2019-06-12,92060.9467,122601.14215730446
2019-06-13,92679.5067,122411.73478077998
2019-06-14,89679.5067,121398.22063886741
2019-06-17,89583.0267,121396.39047149113
2019-06-18,88740.5067,121821.33806426634
2019-06-19,89492.6267,123426.29188558938
2019-06-20,91711.1067,127165.68588295927
2019-06-21,93729.4267,127345.71323648807
2019-06-24,93794.7067,127589.10224676809
2019-06-25,93175.8369,126261.9452467067
2019-06-26,91542.5169,126030.14176057998
2019-06-27,92472.5969,127374.90623298558
2019-06-28,91081.9969,127068.3316074624
2019-07-01,94622.9969,130729.47349372921
2019-07-02,93897.3169,130774.56337055862
2019-07-03,92624.8769,129325.21031313614
2019-07-04,91789.9169,128646.54704878718
2019-07-05,92185.6569,129314.19609349959
2019-07-08,89604.3369,126311.100685911
2019-07-09,89372.3369,125990.24012593161
2019-07-10,88985.8369,125777.97060412413
2019-07-11,88938.2169,125727.5496589845
2019-07-12,88809.3369,126508.44653798778
2019-07-15,90413.8969,127021.84668472005
2019-07-16,91398.4569,126445.7956903446
2019-07-17,91399.5069,126372.50595684619
2019-07-18,89961.1769,125168.89688006631
2019-07-19,91223.2569,126482.67140397702
2019-07-22,87407.5969,125610.04029158335
2019-07-23,87706.9373,125883.41282437825
2019-07-24,88221.4273,126877.18374508464
2019-07-25,88393.2273,127914.63288901802
2019-07-26,87990.3173,128163.82462598835
2019-07-29,87368.7873,128021.05164141118
2019-07-30,87970.7073,128554.065469372
2019-07-31,86829.0473,127392.89900372481
2019-08-01,86292.8873,126333.67717893567
2019-08-02,83851.3273,124472.56967722907
2019-08-05,82761.9173,122089.38285028888
2019-08-06,79293.4997,120782.0421452672
2019-08-07,78247.9097,120287.20275225303
2019-08-08,79207.1097,121876.97714542798
2019-08-09,79057.2597,120689.06233516883
2019-08-12,80772.8297,122867.16412675322
2019-08-13,79862.4197,121759.32495189765
2019-08-14,79862.0097,122312.36101024724
2019-08-15,80081.3097,122697.62951141258
2019-08-16,80264.8097,123246.94544732761
2019-08-19,84102.0697,125922.64350837324
2019-08-20,84928.1597,125810.96676150338
2019-08-21,85340.4097,125612.52148038568
2019-08-22,84826.0297,126002.74239454199
2019-08-23,84613.0197,126911.4387653234
2019-08-26,84064.2297,125086.14408512507
2019-08-27,85926.9597,126781.30423241002
2019-08-28,86264.2797,126304.28156862699
2019-08-29,85913.0497,125892.4872658882
2019-08-30,84607.7297,126204.69854120725
2019-09-02,86747.8997,127823.40020784871
2019-09-03,87500.4092,127999.13613442621
2019-09-04,89117.1692,129075.00218557207
2019-09-05,90784.8892,130381.09067080994
2019-09-06,91069.2492,131151.17262244996
2019-09-09,93601.6992,131962.9863761146
2019-09-10,93440.8792,131508.48706075
2019-09-11,92601.9792,130539.75721418114
