date,symbol,side,shares,price,value,cost
2011-06-02,601988.SH,buy,13299.71105842798,3.7587284249999997,49990.00199960008,9.998000399920016
2011-06-02,601328.SH,buy,7757.676081223086,6.443940359999999,49990.00199960008,9.998000399920016
2011-06-02,601390.SH,buy,12018.333451160617,4.1594787,49990.00199960008,9.998000399920016
2011-06-02,601169.SH,buy,4457.755455638829,11.21416428,49990.00199960008,9.998000399920016
2011-06-02,600004.SH,buy,4614.747003149937,10.832663625,49990.001999600085,9.998000399920018
2011-06-02,600028.SH,buy,4055.0690160754157,12.327780809999998,49990.001999600085,9.998000399920018
2011-06-02,600269.SH,buy,1143.4124340671362,43.72000907999999,49990.001999600085,9.998000399920018
2011-06-02,000002.SZ,buy,56.94023987102891,877.93802964,49990.001999600085,9.998000399920018
2011-06-02,600033.SH,buy,2918.024906417968,17.131451445,49990.001999600085,9.998000399920018
2011-06-02,601186.SH,buy,7878.208989630561,6.34535109,49990.00199960008,9.998000399920016
2011-06-02,601939.SH,buy,8978.440159902095,5.567782499999999,49990.00199960008,9.998000399920016
2011-06-02,601628.SH,buy,2501.089711315101,19.987288649999996,49990.001999600085,9.998000399920018
2011-06-02,000999.SZ,buy,1470.2897848329703,34.00010155499999,49990.00199960008,9.998000399920016
2011-06-02,600018.SH,buy,12018.333451160617,4.1594787,49990.00199960008,9.998000399920016
2011-06-02,600019.SH,buy,4531.974556902961,11.0305125,49990.00199960008,9.998000399920016
2011-06-02,601866.SH,buy,13113.352305853477,3.81214512,49990.00199960008,9.998000399920016
2011-06-02,601857.SH,buy,4252.269705184181,11.756075099999999,49990.00199960008,9.998000399920016
2011-06-02,600694.SH,buy,312.1302812473284,160.157488725,49990.001999600085,9.998000399920018
2011-06-02,600832.SH,buy,409.9984564227171,121.92729317999999,49990.00199960008,9.998000399920016
2011-06-02,000031.SZ,buy,650.7577777975986,76.81813987499999,49990.001999600085,9.998000399920018
2011-07-04,601169.SH,sell,4457.755455638829,10.544165280000001,47003.31030207752,9.400662060415506
2011-07-04,600269.SH,sell,1143.4124340671362,41.173123139999994,47077.860947653324,9.415572189530666
2011-07-04,000002.SZ,sell,56.94023987102891,989.2426912200001,56327.716128728985,11.265543225745798
2011-07-04,600033.SH,sell,2918.024906417968,17.013359065,49645.40549350191,9.929081098700383
2011-07-04,601186.SH,sell,7878.208989630561,6.2145111900000005,48959.217923217715,9.791843584643544
2011-07-04,601939.SH,sell,8978.440159902095,5.74902405,51617.26841076299,10.323453682152598
2011-07-04,601628.SH,sell,2501.089711315101,20.258615625,50668.615105174846,10.13372302103497
2011-07-04,000999.SZ,sell,1470.2897848329703,33.070426515,48623.11028507391,9.724622057014782
2011-07-04,600019.SH,sell,4531.974556902961,11.059517475,50121.451808323676,10.024290361664736
2011-07-04,601866.SH,sell,13113.352305853477,3.6471355200000004,47826.17298095213,9.565234596190425
2011-07-04,600694.SH,sell,312.1302812473284,154.33627326,48173.024379308335,9.634604875861667
2011-07-04,600832.SH,sell,409.9984564227171,123.72110850000001,50725.46351190751,10.145092702381502
2011-07-04,000031.SZ,sell,650.7577777975986,77.14174983000001,50200.59369478908,10.040118738957817
2011-07-04,600900.SH,buy,3062.4097312573845,16.266679274999998,49815.23690700281,9.963047381400562
2011-07-04,601857.SH,sell,50.89877417594619,11.853270400000001,603.3169333360274,0.1206633866672055
2011-07-04,600018.SH,sell,64.31505414091951,4.165975970000001,267.93497006031976,0.05358699401206395
2011-07-04,601818.SH,buy,14515.372877264386,3.4318950899999994,49815.23690700281,9.963047381400562
2011-07-04,601328.SH,buy,103.89314412941076,6.340928879999999,658.779038044183,0.13175580760883662
2011-07-04,600028.SH,sell,182.68231898327727,12.860056755,2349.3049902599596,0.46986099805199194
2011-07-04,600005.SH,buy,2354.7934656530615,21.154822125,49815.236907002814,9.963047381400564
2011-07-04,601009.SH,buy,3681.1057389171865,13.532682959999999,49815.236907002814,9.963047381400564
2011-07-04,000538.SZ,buy,80.13429529900709,621.64690812,49815.236907002814,9.963047381400564
2011-07-04,600428.SH,buy,1111.464000245881,44.81947854,49815.236907002814,9.963047381400564
2011-07-04,600036.SH,buy,1092.0155924486016,45.617697449999994,49815.23690700281,9.963047381400562
2011-07-04,601988.SH,buy,3.5024651417628174,3.747222675,13.124516797610719,0.002624903359522144
2011-07-04,600004.SH,buy,74.41081707717662,10.63081275,791.0474629219669,0.1582094925843934
2011-07-04,601398.SH,buy,9622.437719568403,5.1769872,49815.236907002814,9.963047381400564
2011-07-04,000825.SZ,buy,1532.606581025197,32.50360368,49815.236907002814,9.963047381400564
2011-07-04,000898.SZ,buy,3585.921572359623,13.891892474999999,49815.236907002814,9.963047381400564
2011-07-04,600795.SH,buy,86.54768258938658,575.58140688,49815.236907002814,9.963047381400564
2011-07-04,600535.SH,buy,326.32508267283214,152.65524948,49815.23690700282,9.963047381400564
2011-07-04,600547.SH,buy,101.63131892038999,490.1563557,49815.236907002814,9.963047381400564
2011-07-04,601390.SH,buy,215.14847770778755,4.03773786,868.7131539620998,0.17374263079241997
2011-08-02,601390.SH,sell,12233.481928868405,3.541378425,43323.388965521954,8.66467779310439
2011-08-02,600004.SH,sell,4689.157820227114,10.4857545,49169.35771465665,9.83387154293133
2011-08-02,601818.SH,sell,14515.372877264386,3.2847568000000003,47679.46976312976,9.535893952625953
2011-08-02,601009.SH,sell,3681.1057389171865,12.80527416,47137.568198783956,9.427513639756791
2011-08-02,000538.SZ,sell,80.13429529900709,656.3386664999999,52595.23651746753,10.519047303493506
2011-08-02,600428.SH,sell,1111.464000245881,41.368585360000004,45979.693368738794,9.19593867374776
2011-08-02,600036.SH,sell,1092.0155924486016,42.62517675,46547.357641877614,9.309471528375523
2011-08-02,600535.SH,sell,326.32508267283214,163.64509652000004,53401.499650892605,10.680299930178522
2011-08-02,600547.SH,sell,101.63131892038999,516.0911753250001,52451.026831453986,10.490205366290798
2011-08-02,600018.SH,sell,509.38947900123,4.195581160000001,2137.1849011997765,0.4274369802399553
2011-08-02,600028.SH,buy,99.03693990755313,12.102748349999999,1198.6191610551878,0.23972383221103757
2011-08-02,601988.SH,sell,11.986546965322576,3.61275272,43.30443015237688,0.008660886030475377
2011-08-02,600019.SH,buy,4534.243965912931,10.593243974999998,48032.35257308726,9.606470514617452
2011-08-02,601939.SH,buy,8809.226867669486,5.45250489,48032.35257308726,9.606470514617452
2011-08-02,601328.SH,buy,139.9915013745176,6.007002,840.92922873973,0.168185845747946
2011-08-02,601398.SH,buy,58.091750079209525,4.965201359999999,288.4372364980712,0.05768744729961424
2011-08-02,600269.SH,buy,1210.131790655571,39.691836,48032.35257308726,9.606470514617452
2011-08-02,600795.SH,buy,3.335569906735677,534.7462395,1783.6834642162692,0.3567366928432538
2011-08-02,601628.SH,buy,2514.7821686270427,19.10000523,48032.35257308726,9.606470514617452
2011-08-02,601288.SH,buy,17711.72843746553,2.71189527,48032.35257308726,9.606470514617452
2011-08-02,600717.SH,buy,400.45266971142235,119.9451426,48032.35257308725,9.60647051461745
2011-08-02,600808.SH,buy,7983.38885793998,6.016536765,48032.35257308725,9.60647051461745
2011-08-02,600642.SH,buy,1453.8292168520322,33.038511,48032.35257308725,9.60647051461745
2011-08-02,000898.SZ,buy,206.0966687046484,12.675084375,2612.2926652378405,0.5224585330475682
2011-08-02,601857.SH,sell,43.3556481605239,11.548223,500.68069326726976,0.10013613865345396
2011-08-02,600005.SH,buy,32.33233358544224,20.135312625,651.0216446386668,0.13020432892773337
2011-08-02,000825.SZ,sell,6.499314685021417,31.464260000000003,204.496127071332,0.0408992254142664
2011-08-02,600900.SH,buy,107.84782353016048,15.161176799999998,1635.099920035963,0.3270199840071926
2011-08-02,601018.SH,buy,15299.546008565463,3.1193689049999995,47724.92807973596,9.544985615947192
2011-09-02,601328.SH,sell,8001.560726727014,6.0136316800000005,48118.4390756894,9.623687815137881
2011-09-02,600028.SH,sell,3971.4236369996916,11.49397014,45647.424696964656,9.129484939392931
