date,strategy_nav,benchmark_nav
2011-06-01,1000000.0,1000000.0
2011-06-02,986419.0447036083,983866.4417794847
2011-06-03,946508.5403289043,994066.919581529
2011-06-07,1001461.7827443222,1000029.6254576553
2011-06-08,1004480.7585452963,1001490.9261217648
2011-06-09,945882.6119204243,982596.208673735
2011-06-10,997274.3230205262,985939.2252044074
2011-06-13,988936.2764778369,982083.2555248983
2011-06-14,996445.8347425226,996466.9145219001
2011-06-15,889424.7124077888,986334.3422632453
2011-06-16,922971.4834159866,971175.0954422399
2011-06-17,968508.9693020902,962713.1992731445
2011-06-20,959885.2242384763,956967.5248396149
2011-06-21,965753.100968834,968344.0334494718
2011-06-22,963958.2029057419,968180.5941269029
2011-06-23,974618.4034231579,984506.8842573315
2011-06-24,994210.2169480746,1007754.8796291025
2011-06-27,993391.063774409,1010757.7027022078
2011-06-28,843249.3376257156,1012502.9417413712
2011-06-29,933598.0456588545,998667.1872758328
2011-06-30,991604.7343541364,1013286.851323143
2011-07-01,994197.0038028329,1015169.565800638
2011-07-04,1009112.4776464624,1039214.4526962996
2011-07-05,1007981.2406874754,1039387.5452578798
2011-07-06,1003580.1834561903,1036462.2809671747
2011-07-07,1001077.3591570504,1032457.1853884581
2011-07-08,1004680.8784977881,1034954.7113298737
2011-07-11,1004199.6116391772,1036293.8485899449
2011-07-12,992596.2240524723,1017552.9172254729
2011-07-13,1003755.3034667767,1033977.4040975668
2011-07-14,1007179.4188526196,1037139.006308891
2011-07-15,1012890.338839746,1041514.2536731408
2011-07-18,1008647.383417468,1039420.8322889529
2011-07-19,1000906.418525127,1030275.2205016157
2011-07-20,997979.0274415207,1029090.8679360345
2011-07-21,993009.0364034378,1018296.5494996461
2011-07-22,993181.7845945376,1021241.1202683735
2011-07-25,968227.1423817389,988055.2817697251
2011-07-26,972008.4524827098,991209.8937045237
2011-07-27,973083.3150989232,998628.2414494773
2011-07-28,964718.8240282042,992287.0620300496
2011-07-29,914767.7860649871,989316.8602473959
2011-08-01,965354.019801492,991194.9145405409
2011-08-02,953501.2559401923,984092.1278501605
2011-08-03,951876.2542991719,983588.4950700243
2011-08-04,950797.8477197229,985398.976690091
2011-08-05,927380.0816743282,964464.0971075901
2011-08-08,891906.218549867,930005.3625407058
2011-08-09,887735.2749813291,931434.3747846746
2011-08-10,894842.7209717351,940065.7019419322
2011-08-11,903843.9840614531,954313.8827224664
2011-08-12,911071.9550009972,957123.6410153477
2011-08-15,919988.1230307211,971276.6208870128
2011-08-16,914200.1946399523,964518.68783855
2011-08-17,912275.7497137694,960668.0440840125
2011-08-18,852376.9444191356,943439.0096708811
2011-08-19,889390.7414126663,934587.9881085411
2011-08-22,885390.4954042772,924642.8218348277
2011-08-23,898432.0569741792,939028.1451833834
2011-08-24,892956.5239235276,935370.8990793807
2011-08-25,917768.0575231848,966601.1245024838
2011-08-26,914143.2586451655,965728.6714180575
2011-08-29,900979.1454697021,949615.418286497
2011-08-30,899956.8437259599,945930.8768170142
2011-08-31,856890.7522461922,947607.211701856
2011-09-01,898432.0365211398,943532.5462281966
2011-09-02,889949.7960658111,933319.7522246555
2011-09-05,830654.8934612598,913335.2173792921
2011-09-06,868360.4676281733,906506.7158249542
2011-09-07,878436.7535431185,925076.5518497105
2011-09-08,876818.4549130115,917425.5277575561
2011-09-09,878679.1312925152,915757.847500793
2011-09-13,871766.4117027352,905501.4474865462
2011-09-14,872429.3259523829,909770.5092216728
2011-09-15,828080.4615260666,908420.0543710366
2011-09-16,872988.0937394227,910063.1022248054
2011-09-19,861070.3513265918,891849.4374325314
2011-09-20,775865.0407526343,895369.5409685129
2011-09-21,878197.8606418307,922387.2926093139
2011-09-22,858124.7450174429,893985.7990868037
2011-09-23,809410.6745604535,888589.9713498524
2011-09-26,798018.250490901,869097.4188237495
2011-09-27,846226.9074833138,878071.6024010602
2011-09-28,841240.491294405,868987.9044915191
2011-09-29,834243.9402902677,861529.9451795886
2011-09-30,831179.7597487726,859255.1094760522
2011-10-10,828788.5818464626,851176.679904919
2011-10-11,834423.5175645521,849483.0357639191
2011-10-12,811003.3488845502,880361.4172685794
2011-10-13,857778.1305529354,886300.8222229546
2011-10-14,854603.9115973223,883365.2389526169
2011-10-17,855158.8997019969,887748.808074635
2011-10-18,843964.8476889031,862869.4153099705
2011-10-19,843550.5964148379,859830.975113617
2011-10-20,787380.966056601,839010.2700476971
2011-10-21,826402.0488905656,834797.7962653949
2011-10-24,841219.7246812844,857696.6106812091
2011-10-25,852450.0505126386,873926.035551215
2011-10-26,858281.8674340005,882656.2251907598
2011-10-27,863432.2306380031,884595.5276210792
2011-10-28,870754.229057621,901751.3305658496
2011-10-31,867465.97263104,897187.6786057261
2011-11-01,867848.7134310594,897928.9807877244
2011-11-02,877735.2551643207,912860.2114458788
2011-11-03,878839.702301001,913496.3266096859
2011-11-04,885532.1388330748,919968.9898018524
2011-11-07,882689.4263508167,910815.7219973684
2011-11-08,884958.4027244148,907973.6752843462
2011-11-09,888184.2275591127,915943.9220044918
2011-11-10,833288.1275381874,898612.6964059661
2011-11-11,877674.2562095077,897086.1531609532
2011-11-14,889305.0445039027,915458.2642211352
2011-11-15,798304.0195373044,913622.484457453
2011-11-16,869538.0134265051,888802.3426080989
2011-11-17,869771.4880382277,886106.4259614876
2011-11-18,857434.4854207557,867624.800569075
2011-11-21,858115.3659947275,868687.3226009288
2011-11-22,856740.8523412861,868616.7540950538
2011-11-23,854608.599644985,860140.544502597
2011-11-24,855282.6677557959,861772.9405064223
2011-11-25,850952.0016547885,855467.7110805536
2011-11-28,854616.2534442275,856582.1608808814
2011-11-29,818456.4119026135,868315.1735935315
2011-11-30,841650.4449088881,839339.1459146994
2011-12-01,854565.5920260984,860008.0621189259
2011-12-02,846154.5321009677,851252.9072060765
2011-12-05,842687.5626344326,839294.2084227507
2011-12-06,796589.743301287,837615.210575423
2011-12-07,798555.7462837499,841572.0399590837
2011-12-08,797363.5745518409,840497.8674663545
2011-12-09,791531.1388936642,833327.8409732062
2011-12-12,828603.3954703127,824750.1059359764
2011-12-13,818589.7492832768,806187.925928367
2011-12-14,813068.7952596575,798049.912571613
2011-12-15,799791.6919765067,779178.828915645
2011-12-16,810798.5497316765,795602.9829174286
