date,strategy,benchmark
2019-01-02,100000.0,98634.24008660445
2019-01-03,97744.1877,98478.35367044552
2019-01-04,101076.1877,100837.7084630394
2019-01-07,103882.1877,101449.83135887835
2019-01-08,104092.1877,101230.62646596076
2019-01-09,107369.1877,102252.74339100321
2019-01-10,106096.1877,102060.4429549783
2019-01-11,105721.1877,102794.23046211629
2019-01-14,106094.1877,101897.62448924716
2019-01-15,104541.8717,103897.38626854983
2019-01-16,103854.8717,103919.35159860305
2019-01-17,104501.8717,103346.88786514665
2019-01-18,103541.8717,105232.09644576847
2019-01-21,103725.8717,105812.11999945797
2019-01-22,103062.8717,104406.46841602772
2019-01-23,102560.8717,104331.27211978161
2019-01-24,101585.8717,104920.13096425314
2019-01-25,98987.8717,105773.36429538098
2019-01-28,97371.8717,105750.38257473402
2019-01-29,94594.6916,106088.91703781538
2019-01-30,92171.6916,105242.35999784239
2019-01-31,90186.6916,106343.45645078538
2019-02-01,93563.6916,107863.52504984308
2019-02-11,96459.6916,109825.73684332207
2019-02-12,98774.6916,110618.34878645626
2019-02-13,101890.6916,112833.55879932521
2019-02-14,105210.6916,113003.37906692426
2019-02-15,105447.6916,110896.34157845331
2019-02-18,109377.6916,114451.71905529093
2019-02-19,110674.1405,114247.87627510527
2019-02-20,110522.1405,114657.07313521563
2019-02-21,111860.1405,114350.77087579925
2019-02-22,116450.1405,116922.05971487395
2019-02-25,124498.1405,123876.19419251694
2019-02-26,123746.1405,122388.4906586398
2019-02-27,125248.1405,122179.18727016628
2019-02-28,122593.1405,121879.524764988
2019-03-01,125268.1405,124548.1811657111
2019-03-04,128362.1405,126022.6018695742
2019-03-05,131214.7653,126750.32424852872
2019-03-06,135150.7653,127815.77727839572
2019-03-07,137491.7653,126512.3858819229
2019-03-08,128163.7653,121487.872268002
2019-03-11,132507.7653,123891.85524365885
2019-03-12,134586.7653,124735.43618568422
2019-03-13,133198.7653,123700.51805362146
2019-03-14,125914.7653,122846.60712876444
2019-03-15,127367.7653,124391.75998195221
2019-03-18,129660.7653,127937.2658481867
2019-03-19,131073.5416,127346.5203701948
2019-03-20,130804.5416,127395.58280633822
2019-03-21,132914.5416,127443.79825032022
2019-03-22,133712.5416,127341.16272958147
2019-03-25,128416.5416,124319.35709906986
2019-03-26,122809.5416,122911.47676371677
2019-03-27,124210.5416,124338.04407122768
2019-03-28,122417.5416,123840.06250337145
2019-03-29,125884.5416,128621.28011007319
2019-04-01,130399.5416,131995.52416126526
2019-04-02,130537.739,131907.74255796155
2019-04-03,132234.739,133597.45538311024
2019-04-04,130344.739,134928.53844095522
2019-04-08,128044.739,134762.3851511845
2019-04-09,129054.739,135366.9548698662
2019-04-10,127616.739,135712.95615011977
2019-04-11,125709.739,132781.06122869806
2019-04-12,125537.739,132483.41821855566
2019-04-15,124842.739,132048.54919210906
2019-04-16,128145.8493,135711.03297968264
2019-04-17,128683.8493,135759.21852982364
2019-04-18,128142.8493,135255.5239168001
2019-04-19,130936.8493,136867.54929228663
2019-04-22,130330.8493,133712.19126637495
2019-04-23,129530.8493,133492.78375964618
2019-04-24,130525.8493,133860.92308992316
2019-04-25,126883.2893,130928.91191467537
2019-04-26,123971.7293,129183.73604987311
2019-04-29,116870.4893,129551.06824644333
2019-04-30,117048.9789,129978.78600181712
2019-05-06,108987.4189,122385.9430390797
2019-05-07,108788.5789,123583.4105923047
2019-05-08,106941.1389,121815.98706672873
2019-05-09,104303.4189,119565.40267535271
2019-05-10,106639.0589,123908.35332234844
2019-05-13,104482.5389,121858.10748868626
2019-05-14,103518.6751,121075.0482885179
2019-05-15,105270.6751,123796.782864691
2019-05-16,105886.5451,124357.16616484882
2019-05-17,102055.3151,121194.97573550153
2019-05-20,101973.2551,120166.34527466072
2019-05-21,103110.5751,121793.36075063578
2019-05-22,102276.4951,121215.52609041451
2019-05-23,100408.4151,119042.74208098877
2019-05-24,98720.3051,119373.21185007812
2019-05-27,101052.9451,120810.87973721068
2019-05-28,101035.7751,121975.5238530266
2019-05-29,100624.6951,121698.1256163115
2019-05-30,99118.2751,120943.28288050157
2019-05-31,98437.9351,120564.82685354451
2019-06-03,97933.2051,120638.67792694598
2019-06-04,94956.3051,119524.43150550447
2019-06-05,95432.0851,119479.20544562164
2019-06-06,93140.8851,118402.12371160882
2019-06-10,92909.9051,119932.21339047456
2019-06-11,95958.8751,123537.15817721456
2019-06-12,94997.3351,122601.14215730446
2019-06-13,95566.1751,122411.73478077998
2019-06-14,91978.4551,121398.22063886741
2019-06-17,91874.3051,121396.39047149113
2019-06-18,90985.0951,121821.33806426634
2019-06-19,91800.0651,123426.29188558938
2019-06-20,93720.0451,127165.68588295927
2019-06-21,95038.8151,127345.71323648807
2019-06-24,94511.2851,127589.10224676809
2019-06-25,93446.1739,126261.9452467067
2019-06-26,92723.0139,126030.14176057998
2019-06-27,93397.3239,127374.90623298558
2019-06-28,91847.4839,127068.3316074624
2019-07-01,94734.5839,130729.47349372921
2019-07-02,94187.9539,130774.56337055862
2019-07-03,92770.7839,129325.21031313614
2019-07-04,92379.3339,128646.54704878718
2019-07-05,92640.0639,129314.19609349959
2019-07-08,90226.9739,126311.100685911
2019-07-09,89807.0739,125990.24012593161
2019-07-10,89631.1039,125777.97060412413
2019-07-11,89250.5639,125727.5496589845
2019-07-12,89130.7539,126508.44653798778
2019-07-15,90357.8239,127021.84668472005
2019-07-16,91207.0339,126445.7956903446
2019-07-17,91369.6039,126372.50595684619
2019-07-18,90097.7839,125168.89688006631
2019-07-19,91419.4039,126482.67140397702
2019-07-22,87637.7739,125610.04029158335
2019-07-23,88324.0843,125883.41282437825
2019-07-24,88595.9943,126877.18374508464
2019-07-25,88799.2743,127914.63288901802
2019-07-26,88435.7143,128163.82462598835
2019-07-29,88061.5343,128021.05164141118
2019-07-30,88488.3843,128554.065469372
2019-07-31,87554.8943,127392.89900372481
2019-08-01,87019.1543,126333.67717893567
2019-08-02,84605.0243,124472.56967722907
2019-08-05,83416.2043,122089.38285028888
2019-08-06,79968.6797,120782.0421452672
2019-08-07,79303.2397,120287.20275225303
2019-08-08,80261.6997,121876.97714542798
2019-08-09,80051.3297,120689.06233516883
2019-08-12,81720.7397,122867.16412675322
2019-08-13,80814.1897,121759.32495189765
2019-08-14,80878.6097,122312.36101024724
2019-08-15,81079.7097,122697.62951141258
2019-08-16,81341.4797,123246.94544732761
2019-08-19,85055.7097,125922.64350837324
2019-08-20,85492.7443,125810.96676150338
2019-08-21,85977.6043,125612.52148038568
2019-08-22,85335.7543,126002.74239454199
2019-08-23,85182.3643,126911.4387653234
2019-08-26,84692.5143,125086.14408512507
2019-08-27,86807.1943,126781.30423241002
2019-08-28,87287.4643,126304.28156862699
2019-08-29,86776.1543,125892.4872658882
2019-08-30,85438.3643,126204.69854120725
2019-09-02,87482.1543,127823.40020784871
2019-09-03,87919.5032,127999.13613442621
2019-09-04,89261.5132,129075.00218557207
2019-09-05,90589.5732,130381.09067080994
2019-09-06,90940.9632,131151.17262244996
2019-09-09,93452.9432,131962.9863761146
2019-09-10,93158.8532,131508.48706075
2019-09-11,92571.1032,130539.75721418114
